date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:48	354/-1	---M--	302	error ('Found')	text/html	date:Mon,%2011%20Jan%202021%2002:06:48%20GMT	http://127.0.0.1:8000/home	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/home.0.delayed	(from )
09:06:48	3660/-1	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2002:06:48%20GMT	http://127.0.0.1:8000/login	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/login.html	(from )
09:06:48	26/26	---M--	200	added ('OK')	text/plain	date:Mon,%2011%20Jan%202021%2002:06:48%20GMT	http://127.0.0.1:8000/robots.txt		(from )
09:06:48	59344/59344	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Jan%202021%2002:06:48%20GMT	http://127.0.0.1:8000/vendor/fontawesome-free/css/all.min.css	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/vendor/fontawesome-free/css/all.min.css	(from http://127.0.0.1:8000/login)
09:06:51	169740/169740	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Jan%202021%2002:06:49%20GMT	http://127.0.0.1:8000/css/sb-admin-2.min.css	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/css/sb-admin-2.min.css	(from http://127.0.0.1:8000/login)
09:06:52	1482/-1	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202021%2002:06:51%20GMT	http://127.0.0.1:8000/forgot-password.html	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/forgot-password.5.delayed	(from http://127.0.0.1:8000/login)
09:06:53	3766/-1	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2002:06:53%20GMT	http://127.0.0.1:8000/register	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/register.html	(from http://127.0.0.1:8000/login)
09:06:54	2532/2532	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Jan%202021%2002:06:53%20GMT	http://127.0.0.1:8000/vendor/jquery-easing/jquery.easing.min.js	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/vendor/jquery-easing/jquery.easing.min.js	(from http://127.0.0.1:8000/login)
09:06:54	1265/1265	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Jan%202021%2002:06:54%20GMT	http://127.0.0.1:8000/js/sb-admin-2.min.js	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/js/sb-admin-2.min.js	(from http://127.0.0.1:8000/login)
09:07:07	84152/84152	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Jan%202021%2002:06:53%20GMT	http://127.0.0.1:8000/vendor/bootstrap/js/bootstrap.bundle.min.js	I:/laravel/sikapta-laravel/resources/views/uyeee/127.0.0.1_8000/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://127.0.0.1:8000/login)
